Radius,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,image17,image18,image19,image20,image21,image22,image23
10,1,2,1,1,5,9,1,1,1,2,1,9,8,1,4,5,9,6,4,2,4,3,6
11,2,4,1,1,6,9,6,3,5,4,3,7,9,5,4,12,12,5,6,4,8,5,9
12,9,6,2,2,13,9,11,10,5,7,6,7,8,11,4,12,13,6,5,9,7,6,13
13,9,11,2,3,12,12,14,17,8,8,11,10,11,11,4,14,16,4,5,8,6,7,11
14,12,11,4,7,9,16,16,19,7,10,12,12,9,10,4,13,19,4,5,12,8,8,10
15,13,14,8,14,11,21,17,16,10,14,16,12,10,14,4,12,15,5,5,14,7,7,13
16,17,14,14,22,13,22,13,19,8,13,16,13,11,14,5,15,15,8,6,14,10,7,13
17,17,10,14,23,18,18,16,20,8,15,19,15,14,12,5,15,18,12,5,19,10,10,14
18,18,14,12,23,19,21,21,17,11,12,22,14,14,14,10,14,21,11,7,24,12,9,13
19,14,15,10,17,13,24,19,20,10,13,24,18,14,16,8,15,16,12,6,20,16,10,14
20,16,12,17,23,23,16,21,19,13,13,21,16,13,16,10,16,14,11,6,25,14,10,12
21,16,13,19,21,21,20,15,18,12,13,25,17,14,20,7,13,17,14,7,20,15,14,10
22,18,14,21,30,27,24,15,23,13,14,26,12,14,21,12,10,12,17,12,28,13,11,12
23,18,12,25,25,22,22,21,23,15,14,30,14,18,24,16,7,14,23,7,21,17,16,11
24,19,12,24,28,21,20,19,26,15,15,30,14,18,21,12,8,18,23,10,17,23,16,16
25,20,14,23,32,21,21,22,28,18,17,33,16,14,20,14,8,15,21,12,21,23,16,13
26,25,13,29,33,21,21,18,27,16,13,27,15,7,22,10,6,14,18,11,21,22,14,11
27,24,14,29,24,23,25,16,34,23,15,27,12,8,27,11,7,13,18,13,23,20,18,8
28,21,15,28,32,21,24,19,29,26,18,32,16,6,23,12,6,14,20,14,32,25,17,10
29,27,15,30,33,22,23,26,31,26,17,27,15,6,22,12,7,15,23,14,31,26,19,11
30,29,20,29,31,21,22,21,31,24,17,32,16,6,21,12,9,16,19,14,28,24,17,9
31,24,22,35,24,24,19,23,26,23,19,27,14,4,22,12,9,16,25,16,25,25,17,10
32,25,21,35,27,25,19,24,33,24,16,33,11,3,25,12,9,17,23,15,23,28,15,10
33,28,19,32,27,29,19,22,33,21,19,32,12,4,20,13,8,15,26,13,21,22,12,9
34,28,23,35,26,33,26,29,30,25,22,30,11,2,19,18,11,12,23,15,20,22,13,11
35,24,22,32,27,31,25,31,28,23,20,31,10,2,25,16,9,13,25,17,24,27,14,11
36,21,19,31,30,27,23,31,33,27,23,35,8,3,23,16,9,13,21,17,30,31,11,10
37,23,22,39,23,31,21,35,27,27,21,36,13,5,25,16,7,12,26,19,34,30,14,10
38,20,20,35,28,25,24,28,27,29,26,37,12,3,29,17,6,13,26,15,26,25,12,11
39,20,23,33,29,26,25,28,26,28,23,41,12,4,25,13,6,10,27,18,25,31,11,12
40,22,20,36,29,32,22,24,28,35,24,38,15,5,25,16,5,11,30,18,28,21,10,9
41,23,26,40,30,32,27,25,25,32,25,34,15,3,26,14,6,10,26,20,31,21,12,8
42,21,27,42,31,25,29,25,27,29,25,29,13,3,29,16,6,11,33,21,25,17,12,8
43,20,26,42,35,26,24,25,29,30,23,36,15,3,22,16,5,7,32,17,28,27,12,6
