Radius,image24,image25,image26,image27,image28,image29,image30,image31,image32,image33,image34,image35,image36,image37,image38,image39,image40,image41,image42,image43,image44
10,1,1,1,1,1,6,1,2,3,2,1,1,1,1,2,3,4,3,2,1,2
11,2,1,1,1,1,5,2,3,2,4,1,1,4,3,2,4,5,3,2,1,4
12,2,6,1,3,1,6,3,5,2,3,4,2,5,3,2,4,5,4,2,2,4
13,6,6,1,3,1,6,4,5,2,3,4,5,4,4,2,4,5,4,4,2,4
14,7,5,4,5,7,8,5,5,4,4,7,7,8,7,2,4,6,9,4,4,5
15,8,5,4,7,4,10,5,5,4,5,5,11,8,7,2,4,7,8,4,5,6
16,10,4,6,9,4,12,5,5,4,7,5,13,10,7,2,4,9,8,4,7,7
17,8,5,9,10,7,11,7,6,4,8,6,12,10,8,2,4,8,7,4,6,7
18,7,4,9,13,10,13,9,5,6,7,5,15,12,8,2,4,9,8,4,6,7
19,7,5,10,14,11,14,11,5,6,7,5,15,11,8,2,4,9,10,4,8,6
20,7,4,13,17,13,14,13,5,8,10,5,17,11,7,2,4,8,10,4,7,6
21,7,4,14,14,20,17,12,5,8,11,5,24,11,7,2,4,8,7,4,8,6
22,8,4,18,15,17,18,11,5,8,10,5,20,13,8,2,4,8,12,4,7,9
23,9,4,20,17,21,17,11,9,8,10,5,22,12,7,2,4,10,13,4,9,9
24,10,4,22,13,16,15,12,7,8,12,5,22,14,7,2,5,10,12,4,9,9
25,11,4,22,12,19,18,11,7,8,12,5,21,14,7,2,5,9,11,4,9,9
26,12,5,20,11,21,15,11,6,8,11,6,26,17,7,2,4,9,10,4,10,8
27,13,4,22,11,22,15,13,6,8,10,4,23,17,7,2,4,10,14,4,10,8
28,11,4,21,15,26,18,12,6,10,11,4,23,19,10,2,4,9,14,4,10,9
29,12,6,27,18,23,17,18,7,10,11,4,27,19,7,2,4,9,21,5,11,10
30,12,5,24,18,23,17,18,7,10,11,4,26,19,6,2,4,10,19,5,10,9
31,12,5,25,17,23,16,17,6,10,13,3,26,21,5,2,4,10,17,5,10,10
32,14,5,21,18,25,17,17,5,10,11,3,24,20,5,2,5,10,13,5,10,11
33,11,5,21,16,27,17,18,5,9,12,3,26,22,6,2,4,10,14,5,10,12
34,13,5,26,17,24,21,18,5,9,12,3,26,18,6,3,7,10,14,4,10,13
35,13,7,27,18,28,20,16,5,10,11,3,27,19,6,3,6,10,17,4,10,13
36,15,6,28,17,25,19,14,5,10,12,3,28,19,6,3,9,10,16,4,11,14
37,14,6,27,19,28,23,12,6,10,11,3,30,20,6,3,10,9,16,5,10,14
38,13,6,27,17,24,21,12,5,10,12,3,27,21,5,4,9,10,18,5,12,13
39,16,7,27,16,26,20,10,7,11,11,3,28,19,5,4,9,9,17,4,11,13
40,13,7,25,19,28,23,12,6,9,12,4,25,14,6,3,9,12,21,5,13,11
41,13,8,24,15,29,22,10,6,9,11,3,28,17,8,3,7,10,21,5,14,13
42,12,8,24,17,23,20,10,6,9,13,3,26,16,7,3,5,9,20,6,11,11
43,12,6,25,15,22,19,12,6,9,10,4,28,13,8,4,4,9,15,4,15,11
44,13,5,29,15,21,24,14,6,9,12,3,25,17,8,3,4,8,16,3,13,11
45,12,5,33,17,23,24,14,6,9,10,3,24,14,8,2,3,9,17,3,14,11
46,13,7,26,17,23,28,12,6,8,8,3,26,14,8,3,3,10,18,2,14,12
47,13,7,26,14,19,23,11,6,11,8,3,26,13,9,3,3,10,16,2,13,12
48,13,8,28,14,19,25,9,6,12,8,3,24,15,11,3,3,10,17,2,14,12
49,15,7,31,14,20,20,8,6,11,10,4,21,16,10,2,3,11,17,2,12,11
50,14,8,28,15,19,20,8,6,11,8,3,22,14,9,2,3,11,15,2,14,9
51,16,5,30,13,27,20,9,6,8,8,3,22,12,10,2,3,10,18,2,15,12
52,18,6,38,12,29,19,9,6,8,7,3,19,14,9,2,3,10,18,2,12,10
53,18,5,31,10,25,21,9,5,10,9,3,19,17,8,2,3,10,12,2,11,10
54,15,7,28,11,22,17,8,5,8,4,2,19,9,7,2,3,8,13,2,12,10
55,13,7,21,10,23,18,7,6,10,5,2,19,10,8,3,4,9,14,3,12,11
56,13,6,18,11,19,18,7,6,11,5,2,18,9,8,2,3,7,15,3,16,9
57,13,6,17,11,18,17,6,6,13,4,2,18,10,9,2,3,7,15,3,14,9
58,12,8,19,10,20,18,6,5,13,2,2,19,11,8,2,5,7,14,3,13,10
59,11,8,16,10,19,17,6,5,12,3,2,17,9,7,2,4,9,13,3,14,10
60,7,8,14,11,26,14,5,5,11,2,2,17,9,7,3,6,7,15,3,12,12
61,7,6,12,9,22,21,5,5,12,2,2,17,9,8,3,2,8,15,3,13,9
62,7,7,15,9,23,16,5,5,11,2,2,18,6,8,2,2,7,15,3,13,9
63,8,6,17,10,24,13,5,5,11,2,2,15,6,8,1,2,7,14,3,13,7
64,8,8,13,7,21,15,5,5,10,2,2,13,8,7,2,2,7,15,2,12,7
65,10,7,16,8,20,14,8,4,10,2,2,15,9,7,3,3,7,16,2,11,7
66,9,10,12,8,19,17,4,4,11,1,2,13,7,8,3,3,7,14,2,12,7
67,11,10,13,8,12,12,4,3,11,2,2,12,5,9,4,3,7,15,2,12,9
68,14,11,14,7,15,12,4,3,11,2,2,10,6,9,3,3,7,14,3,14,7
69,12,10,12,7,14,9,4,3,12,2,2,11,3,8,4,3,7,12,4,11,6
70,8,9,10,10,11,10,4,3,11,1,2,12,2,11,4,4,6,12,4,10,5
71,5,10,13,7,12,9,4,3,8,1,2,8,2,9,4,5,5,16,4,11,5
72,6,6,10,7,14,9,4,3,7,1,2,5,2,9,4,5,5,14,4,16,4
73,5,7,12,9,14,9,5,3,6,1,2,5,2,9,4,4,5,16,4,11,4
74,6,6,10,10,15,11,5,3,4,1,1,6,2,7,3,4,4,11,4,11,5
75,7,7,15,6,15,12,5,3,4,0,1,5,2,5,3,3,5,11,3,10,5
