Radius,img0001_XY01_Overlay.tifgreen_Sholl-Profiles.csv,img0001_XY02_Overlay.tifgreen_Sholl-Profiles.csv,img0001_XY03_Overlay.tifgreen_Sholl-Profiles.csv,img0001_XY04_Overlay.tifgreen_Sholl-Profiles.csv,img0001_XY05_Overlay.tifgreen_Sholl-Profiles.csv,img0001_XY06_Overlay.tifgreen_Sholl-Profiles.csv,img0001_XY07_Overlay.tifgreen_Sholl-Profiles.csv,img001_XY01_Overlay.tifgreen_Sholl-Profiles.csv,img001_XY02_Overlay.tifgreen_Sholl-Profiles.csv,img001_XY03_Overlay.tifgreen_Sholl-Profiles.csv,img001_XY04_Overlay.tifgreen_Sholl-Profiles.csv,img001_XY05_Overlay.tifgreen_Sholl-Profiles.csv,img01_XY01_Overlay.tifgreen_Sholl-Profiles.csv,img01_XY02_Overlay.tifgreen_Sholl-Profiles.csv,img01_XY03_Overlay.tifgreen_Sholl-Profiles.csv,img01_XY04_Overlay.tifgreen_Sholl-Profiles.csv,img01_XY05_Overlay.tifgreen_Sholl-Profiles.csv,img01_XY06_Overlay.tifgreen_Sholl-Profiles.csv,img01_XY07_Overlay.tifgreen_Sholl-Profiles.csv,img01_XY08_Overlay.tifgreen_Sholl-Profiles.csv
10,6,1,1,2,4,4,2,2,2,5,2,2,3,2,5,3,1,3,5,1
11,7,1,1,2,4,4,4,4,5,6,3,2,2,2,5,3,2,3,4,4
12,6,3,1,2,4,6,6,6,3,4,2,2,5,2,5,3,3,2,4,2
13,8,4,1,2,4,7,10,5,4,5,2,2,2,2,5,4,5,4,4,4
14,6,4,3,2,4,6,14,6,5,7,3,2,4,5,5,3,10,6,3,4
15,6,6,5,2,3,6,13,6,4,10,4,2,3,10,6,3,14,5,4,5
16,7,7,6,2,3,7,13,8,5,8,5,2,3,8,7,5,14,5,4,7
17,7,11,10,2,3,8,11,5,9,5,5,2,3,10,5,6,20,10,5,7
18,8,10,10,2,4,7,14,7,5,7,7,2,3,7,9,5,19,8,3,8
19,9,12,13,2,3,7,20,9,8,5,8,2,3,6,7,5,18,11,4,9
20,6,10,15,2,3,7,15,9,9,6,7,2,3,3,5,3,17,11,4,6
21,7,11,17,2,3,8,14,10,14,6,7,2,3,2,6,3,16,10,5,7
22,6,11,21,2,3,9,13,10,14,6,7,2,3,3,8,3,16,12,6,7
23,6,10,24,2,4,9,15,13,13,10,7,2,3,3,5,3,20,16,4,8
24,6,9,21,3,3,8,15,12,14,7,8,2,3,3,7,3,15,19,4,6
25,10,9,25,3,3,8,18,14,12,10,12,2,3,3,6,3,16,18,5,10
26,8,7,33,3,3,10,19,10,12,11,15,2,3,4,7,3,17,18,6,13
27,10,9,26,3,3,8,24,12,14,15,12,2,3,5,8,4,18,20,4,13
28,11,9,30,4,3,7,27,12,11,11,15,2,3,5,9,3,17,17,5,15
29,12,11,26,3,3,9,21,12,13,10,19,2,3,5,11,3,20,20,4,18
30,11,13,28,4,3,9,23,15,14,9,19,2,3,6,9,3,24,20,4,17
31,10,12,29,4,3,8,20,16,15,7,21,3,3,7,9,3,16,18,4,13
32,12,12,34,3,4,9,25,17,19,7,22,2,3,4,11,3,20,21,4,14
33,10,14,32,3,4,8,22,16,13,8,24,2,3,3,12,3,19,20,4,11
34,12,14,34,3,3,8,23,17,8,9,25,2,3,4,10,4,21,23,4,16
35,13,13,35,3,7,9,24,13,7,13,25,3,3,6,11,2,14,24,5,15
36,12,14,33,3,4,8,22,10,9,13,23,2,4,4,12,2,15,18,5,15
37,13,13,33,3,6,9,21,17,7,12,22,2,3,5,12,2,13,19,4,14
38,10,15,37,4,4,9,18,13,9,13,27,2,3,5,13,4,14,18,3,15
39,12,14,43,5,3,9,21,14,12,15,27,3,3,5,13,4,12,18,3,15
40,16,13,40,5,4,11,21,15,10,19,25,3,4,5,8,4,17,16,3,18
41,12,12,45,6,4,12,18,12,8,28,25,3,4,4,9,4,17,20,4,16
42,15,11,48,6,5,12,21,16,9,14,21,3,4,5,9,4,17,22,3,22
43,18,14,37,6,4,13,21,16,15,13,31,4,4,6,15,3,16,19,3,28
44,16,14,43,5,4,17,19,16,11,19,28,6,4,4,11,4,15,15,3,24
45,12,13,49,4,5,14,18,14,10,20,21,6,4,4,7,6,15,19,3,26
46,15,10,37,6,6,13,19,19,8,15,26,6,5,4,14,7,16,12,3,26
47,15,10,40,4,7,15,19,17,9,17,32,5,4,5,12,4,11,14,4,24
48,13,9,44,7,4,16,25,24,9,18,28,6,4,5,13,4,15,13,4,23
49,16,10,43,4,4,18,20,23,9,17,27,4,4,8,15,6,18,16,5,25
50,13,10,37,3,8,15,18,29,9,12,28,7,4,7,13,4,16,17,4,27
51,10,13,47,3,5,15,18,28,9,15,25,5,5,5,14,7,13,18,6,28
52,10,14,47,2,4,12,18,26,8,16,27,4,5,8,10,7,12,13,6,28
53,10,12,34,2,4,14,17,33,9,16,29,4,5,8,13,5,10,16,5,28
54,11,12,37,2,6,14,22,34,7,16,25,6,5,5,14,5,10,13,6,27
55,12,13,46,2,9,13,22,33,8,18,30,10,4,5,9,6,12,13,6,32
56,10,16,35,2,10,13,24,33,7,14,33,4,4,7,8,7,13,12,6,31
57,9,15,34,2,7,14,26,32,7,15,29,5,4,6,11,6,13,16,7,32
58,10,12,32,3,7,16,23,32,8,14,28,6,4,5,11,6,14,18,4,27
59,8,12,32,3,3,12,21,38,13,13,26,5,4,7,15,6,10,22,4,31
60,11,12,38,3,7,11,23,34,10,14,27,5,6,4,20,7,10,24,5,35
61,12,12,32,3,6,11,17,37,10,11,32,5,5,5,18,10,9,17,3,29
62,9,14,31,2,7,9,15,37,11,14,33,5,5,5,19,7,8,17,3,25
63,8,13,25,3,5,11,14,32,11,11,25,4,7,6,19,6,9,18,3,27
64,7,12,27,2,4,11,13,30,9,12,28,4,6,7,18,7,8,20,3,31
65,7,10,27,2,4,14,11,31,9,12,29,5,6,6,19,7,9,17,3,29
66,7,11,29,3,7,13,13,36,10,13,22,4,7,8,16,7,5,17,4,32
67,8,9,27,2,6,15,16,27,8,16,29,4,8,8,18,8,5,19,3,26
68,8,9,27,2,4,12,19,32,8,13,33,4,5,8,18,8,6,20,3,19
69,8,10,35,2,4,16,16,37,9,13,29,4,5,5,17,6,5,17,6,26
70,8,10,30,2,4,13,14,35,7,13,30,4,5,6,19,7,6,20,2,29
71,10,9,33,2,4,14,16,36,6,13,32,4,5,5,23,5,6,15,4,26
72,11,10,34,2,3,12,12,33,5,14,27,5,5,7,22,4,5,19,2,20
73,9,11,43,2,4,11,12,39,4,13,25,5,5,7,17,5,4,18,2,17
74,8,10,30,2,6,13,13,36,4,9,23,7,6,8,15,5,4,16,2,25
75,9,9,35,2,5,11,11,32,5,8,24,7,6,5,18,5,5,15,2,22
76,8,8,27,2,5,10,13,29,5,8,23,6,6,6,17,5,3,15,5,21
77,10,8,27,3,3,16,11,25,4,8,21,7,7,5,14,6,2,20,5,24
78,8,9,31,2,3,9,9,18,6,8,20,6,7,7,19,9,2,15,3,19
79,7,8,24,3,3,8,9,17,6,6,21,8,5,5,17,9,2,13,4,19
80,10,7,22,3,3,13,7,21,6,6,19,5,6,8,18,8,2,14,4,20
81,13,7,17,2,3,12,7,20,6,8,22,5,6,9,14,8,2,14,3,21
82,10,7,20,3,3,12,7,18,6,6,18,4,5,8,15,6,2,13,3,22
83,8,8,21,3,4,9,7,15,7,5,20,5,3,7,16,7,3,15,3,17
84,6,8,20,2,3,7,8,11,5,5,23,5,4,4,18,5,2,13,4,21
85,6,7,17,2,3,9,7,13,5,6,19,4,3,4,22,7,2,14,5,22
86,6,7,20,2,3,9,8,10,4,5,18,4,3,4,20,8,1,15,5,17
87,5,6,19,4,3,10,9,9,4,4,17,5,3,4,18,8,1,12,4,19
88,5,7,20,2,4,10,9,11,5,5,19,5,2,4,17,7,1,10,4,21
89,4,7,21,2,4,7,12,9,3,6,20,6,2,5,15,10,1,13,3,19
90,7,6,15,2,3,8,12,10,3,6,18,5,2,4,18,7,1,10,3,15
91,5,6,14,2,3,8,12,8,4,6,18,4,2,5,16,7,1,13,2,14
92,6,5,13,2,3,7,9,7,2,4,14,4,2,2,22,6,1,14,2,12
93,5,5,13,2,3,8,11,9,2,4,13,5,2,3,20,5,1,14,3,11
94,2,6,13,2,5,6,8,8,2,3,15,4,2,2,14,5,1,9,3,13
95,2,6,7,2,5,7,5,11,3,4,13,7,2,2,15,4,1,9,2,11
96,2,6,7,2,5,7,6,9,3,3,14,6,2,4,14,4,1,9,2,10
97,3,6,13,2,6,8,6,10,2,3,13,3,2,2,13,5,1,7,2,10
98,2,7,7,2,4,8,6,8,2,3,11,4,2,3,16,5,1,7,2,7
99,4,6,8,2,3,7,7,6,4,3,10,3,2,2,18,7,1,9,3,7
100,3,6,6,2,5,8,8,7,2,3,12,3,2,1,19,4,1,9,3,6
101,4,7,6,2,3,9,6,9,3,4,9,5,2,1,16,4,1,10,2,6
102,2,5,6,2,2,7,10,7,3,5,8,7,2,1,19,6,1,10,3,5
103,3,6,14,2,2,7,6,5,3,5,5,6,2,1,14,3,1,12,3,6
104,3,6,16,2,3,8,10,4,3,5,5,5,1,2,14,3,1,11,3,6
105,2,7,12,2,2,7,10,4,2,6,5,6,1,2,13,4,1,10,2,6
106,2,6,8,2,3,9,6,3,2,5,4,6,1,1,16,5,1,11,2,3
107,2,4,9,2,2,10,8,7,2,5,3,4,1,2,17,4,1,10,2,2
108,2,6,15,2,4,6,9,6,2,3,5,4,1,1,16,4,1,11,4,3
109,2,3,3,2,3,6,9,5,2,3,1,5,2,2,17,4,1,10,3,4
110,3,1,5,2,7,6,10,5,2,3,1,5,2,1,15,3,1,12,2,3
111,2,1,4,2,4,5,11,3,2,3,2,4,1,1,13,5,1,11,2,2
112,2,1,6,2,5,6,6,3,2,3,1,5,1,1,15,5,2,13,1,3
113,2,1,3,3,9,7,7,3,2,7,1,4,1,1,14,4,2,11,2,3
114,2,1,5,2,6,6,11,3,2,5,1,6,1,1,16,5,1,11,1,2
115,2,1,8,3,9,5,12,3,2,4,1,6,1,1,15,4,1,13,1,4
116,2,2,7,2,11,5,9,4,2,4,3,7,1,1,16,7,1,10,1,2
117,4,3,4,2,7,8,8,5,2,3,1,5,1,0,18,3,1,11,1,2
118,2,3,6,2,7,6,10,4,2,3,0,5,1,0,16,3,1,11,1,2
119,1,3,6,2,5,8,8,4,2,3,0,4,1,0,19,3,1,11,1,2
120,1,4,4,2,4,6,7,3,2,3,0,4,1,0,17,3,1,9,1,2
121,1,5,6,2,5,2,8,3,1,2,0,5,1,0,17,4,1,11,1,3
122,1,5,6,3,2,2,6,3,1,3,0,5,1,0,13,4,1,12,1,3
123,1,4,3,2,2,3,8,3,2,2,0,5,1,0,19,5,1,10,1,2
124,1,4,2,2,2,4,8,4,2,3,0,8,1,0,12,4,1,9,1,1
125,1,3,1,3,2,4,6,4,2,2,0,8,1,0,11,5,1,9,1,1
126,1,2,3,2,3,5,3,5,2,2,0,6,1,0,8,9,2,6,1,1
127,2,3,2,2,2,4,3,6,2,3,0,5,1,0,9,8,1,5,1,2
128,1,2,1,2,2,3,5,3,2,3,0,5,1,0,12,5,1,5,1,1
129,1,1,1,2,4,2,4,6,2,2,0,5,1,0,13,5,1,5,1,1
130,1,2,1,2,3,2,3,4,2,2,0,5,1,0,11,5,1,4,0,1
131,2,2,1,2,2,2,4,2,2,2,1,4,1,0,13,4,1,3,0,1
132,2,1,1,2,2,2,4,2,2,2,0,6,1,0,10,3,1,3,0,1
133,2,1,1,2,3,2,4,2,2,2,0,6,1,0,10,4,1,2,0,1
134,2,1,1,2,2,2,8,2,2,2,0,5,1,0,9,2,1,2,0,1
135,1,1,1,2,2,2,4,2,2,2,0,4,1,0,11,2,2,2,0,1
136,1,2,1,2,2,2,4,1,2,2,0,5,1,0,8,3,1,2,0,1
