Radius,image112,image113,image114,image115,image116,image117,image118,image119,image120,image121,image122,image123,image124,image125,image126,image127,image128,image129
10,2,1,1,1,1,6,5,4,1,1,2,3,1,4,1,1,1,1
11,4,1,1,1,1,11,3,6,1,1,2,5,2,8,7,4,2,4
12,8,4,3,3,5,11,9,8,2,5,4,6,5,7,6,6,6,6
13,10,3,7,8,4,10,9,11,2,6,5,7,7,8,5,5,6,6
14,9,5,11,8,8,9,5,15,4,6,4,13,9,13,10,6,6,10
15,18,6,10,8,11,9,10,14,7,7,7,10,9,12,11,8,9,10
16,17,4,10,10,11,12,11,15,11,9,9,13,12,11,13,9,7,12
17,17,4,13,13,12,13,9,18,11,10,9,12,11,12,14,11,9,10
18,15,4,17,12,12,17,8,14,12,10,7,12,14,15,13,9,14,18
19,15,7,15,13,12,18,9,14,10,9,11,11,18,14,13,14,13,19
20,19,12,17,15,13,14,8,19,11,8,12,11,18,18,11,14,18,20
21,18,19,17,12,15,15,7,19,10,9,12,13,18,18,13,10,15,16
22,20,12,17,20,14,17,7,16,11,11,10,14,17,19,16,11,14,14
23,22,12,19,19,19,17,7,16,11,10,12,10,18,17,16,10,16,12
24,22,14,17,23,19,18,8,23,11,12,13,12,25,19,16,14,18,15
25,19,19,22,27,30,13,8,17,9,14,12,13,23,19,14,13,16,14
26,21,20,20,26,37,15,9,20,11,18,9,12,17,18,15,16,19,14
27,20,20,23,25,30,16,9,25,14,15,21,10,19,19,17,15,20,15
28,22,20,23,23,25,23,10,21,13,14,15,10,16,18,15,15,17,11
29,23,25,21,22,30,18,14,18,13,12,14,12,17,17,17,16,23,14
30,22,27,21,26,30,20,13,22,11,15,14,15,16,16,17,16,23,12
31,22,38,22,27,29,20,13,21,17,20,13,16,18,13,13,13,25,12
32,25,32,26,22,34,15,13,24,17,14,19,14,22,18,14,11,26,13
33,28,33,28,26,35,16,14,23,18,19,14,12,21,16,13,11,27,13
34,27,23,27,26,37,23,15,28,15,19,24,14,24,12,14,8,24,19
35,24,25,26,22,27,24,14,29,19,18,20,15,21,14,16,8,31,14
36,28,30,31,24,31,22,14,25,18,19,20,17,21,12,16,9,26,18
37,30,28,28,24,34,25,14,29,16,21,22,20,21,14,18,10,20,20
38,27,27,29,23,31,27,16,31,19,24,20,18,21,12,20,11,29,24
39,25,32,34,24,31,25,16,27,19,28,22,20,24,19,22,10,32,21
40,29,38,38,21,30,30,19,24,23,22,17,13,25,16,22,10,26,21
41,26,33,37,25,28,28,17,28,19,23,17,13,26,18,18,8,30,24
42,31,33,36,20,27,28,16,28,23,28,21,14,23,15,17,8,26,20
43,24,27,38,25,29,29,19,28,22,22,19,13,18,23,21,7,24,18
44,26,28,38,23,31,26,16,29,19,22,21,14,25,17,20,7,30,20
45,26,31,40,20,21,29,18,34,19,22,17,20,30,14,19,9,30,18
46,30,29,42,15,29,24,19,33,19,21,16,22,25,17,19,8,26,25
47,28,34,31,19,34,18,16,36,17,20,14,21,17,18,22,10,26,21
48,29,31,35,18,33,21,19,35,20,26,22,23,20,18,20,11,24,23
49,30,36,37,23,31,23,14,39,18,21,26,26,21,17,19,14,31,18
50,24,36,36,21,32,22,18,27,18,24,18,27,18,14,18,15,27,23
51,28,31,34,20,28,21,18,25,20,26,16,28,18,16,16,18,21,20
52,25,26,37,23,26,19,14,35,17,21,20,27,22,15,20,19,24,19
53,33,19,39,19,29,14,16,32,17,21,17,27,19,19,17,14,21,24
54,25,16,41,18,27,15,16,30,18,18,23,24,21,15,19,18,21,23
55,24,18,41,21,26,15,16,23,17,22,19,22,20,15,21,14,13,22
56,19,22,49,17,29,14,17,23,15,19,20,21,17,16,19,14,16,17
57,29,13,43,13,30,15,15,25,16,15,21,20,18,18,19,12,17,15
58,20,16,51,12,41,17,18,26,17,15,24,24,21,20,20,9,16,20
59,19,11,48,18,41,15,14,23,14,14,21,19,20,16,18,11,23,18
60,21,12,51,15,38,18,17,23,13,16,26,17,18,19,21,10,21,16
61,20,14,48,21,39,16,18,22,12,15,22,19,21,16,20,12,16,13
62,21,12,47,15,40,16,24,25,16,15,20,20,20,15,21,16,17,10
63,18,15,42,18,34,22,29,27,12,13,19,18,20,22,16,14,12,13
64,16,12,44,20,35,26,22,23,16,13,16,20,20,16,17,12,18,12
